Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          41712102 function calls (41708736 primitive calls) in 18.166 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2754    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7528e95351c0}
      267    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1889(__init__)
    164/2    0.001    0.000    0.079    0.040 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
      110    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      208    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:182(set_children)
        1    0.000    0.000    0.001    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:64(__init__)
      968    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:113(__init__)
     1202    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
     3560    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      440    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      101    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:1173(score_stretch)
      111    0.000    0.000    0.007    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/markers.py:306(_set_marker)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:910(<listcomp>)
  602/499    0.000    0.000    0.007    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
      154    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:64(check_isinstance)
      257    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       79    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1975(rotate)
      440    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
