Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          29829280 function calls (29824579 primitive calls) in 14.055 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.000    0.000    0.010    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3513(std)
       30    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
       75    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:1155(update_from)
      313    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1849(transform_affine)
      110    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      114    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:2897(_interval_contains_close)
       53    0.000    0.000    0.004    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
       32    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:2817(nonsingular)
     1307    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      519    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:686(__call__)
      470    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/colors.py:216(_is_nth_color)
      111    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:2043(scale)
  536/505    0.000    0.000    0.004    0.000 /usr/lib/python3.11/contextlib.py:132(__enter__)
       21    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       59    0.000    0.000    0.009    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:204(_std)
      121    0.000    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1472(transform)
      813    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/lib/function_base.py:348(iterable)
     3708    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       60    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:626(translated)
      127    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:814(set_size)
      337    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       77    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:595(__init__)
       74    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/backend_bases.py:766(__init__)
  742/739    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x77c7c40db0a0}
 1098/676    0.000    0.000    0.002    0.000 {built-in method builtins.hash}
      101    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:1173(score_stretch)
       12    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/ticker.py:781(_set_format)
      480    0.000    0.000    0.000    0.000 /usr/lib/python3.11/copy.py:243(_keep_alive)
      210    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
  312/277    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
    88/84    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/spines.py:339(get_spine_transform)
       94    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:836(<dictcomp>)
      118    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:813(from_extents)
